Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
9.0060E-07,4.3500E-25,6.2000E-27
9.0080E-07,4.3840E-25,6.4000E-27
9.0100E-07,4.4020E-25,6.5000E-27
9.0120E-07,4.4190E-25,6.6000E-27
9.0140E-07,4.4540E-25,6.7000E-27
9.0160E-07,4.4720E-25,6.8000E-27
9.0180E-07,4.5040E-25,6.9000E-27
9.0200E-07,4.5390E-25,7.1000E-27
9.0220E-07,4.5560E-25,7.2000E-27
9.0240E-07,4.5910E-25,7.3000E-27
9.0260E-07,4.6260E-25,7.5000E-27
9.0280E-07,4.6430E-25,7.6000E-27
9.0300E-07,4.6610E-25,7.7000E-27
9.0320E-07,4.6780E-25,7.8000E-27
9.0340E-07,4.7100E-25,8.0000E-27
9.0360E-07,4.7630E-25,8.2000E-27
9.0380E-07,4.7630E-25,8.3000E-27
9.0400E-07,4.7970E-25,8.4000E-27
9.0420E-07,4.8320E-25,8.6000E-27
9.0440E-07,4.8320E-25,8.7000E-27
9.0460E-07,4.8670E-25,8.9000E-27
9.0480E-07,4.8850E-25,9.0000E-27
9.0500E-07,4.8990E-25,9.2000E-27
9.0520E-07,4.9340E-25,9.3000E-27
9.0540E-07,4.9340E-25,9.4000E-27
9.0560E-07,4.9520E-25,9.6000E-27
9.0580E-07,4.9860E-25,9.8000E-27
9.0600E-07,5.0040E-25,9.9000E-27
9.0620E-07,5.0390E-25,1.0100E-26
9.0640E-07,5.0560E-25,1.0300E-26
9.0660E-07,5.0910E-25,1.0500E-26
9.0680E-07,5.1060E-25,1.0600E-26
9.0700E-07,5.1230E-25,1.0800E-26
9.0720E-07,5.1410E-25,1.1000E-26
9.0740E-07,5.1580E-25,1.1100E-26
9.0760E-07,5.1750E-25,1.1300E-26
9.0780E-07,5.2100E-25,1.1500E-26
9.0800E-07,5.2280E-25,1.1700E-26
9.0820E-07,5.2630E-25,1.1900E-26
9.0840E-07,5.2630E-25,1.2100E-26
9.0860E-07,5.3120E-25,1.2300E-26
9.0880E-07,5.2800E-25,1.2400E-26
9.0900E-07,5.3470E-25,1.2700E-26
